     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
   111  4.4576169699D-06  1.1776273227D-05 -1.8573414529D-03  3.2775088489D-03  6.5222858425D+00  4.0544423315D+01
   112  4.4667864321D-06  1.1803192035D-05 -1.8611620622D-03  3.2812526604D-03  6.5222858383D+00  4.0544423262D+01
   113  4.4759747559D-06  1.1830172374D-05 -1.8649905305D-03  3.2850007482D-03  6.5222858341D+00  4.0544423209D+01
   114  4.4851819806D-06  1.1857214387D-05 -1.8688268740D-03  3.2887531175D-03  6.5222858298D+00  4.0544423156D+01
   115  4.4944081449D-06  1.1884318213D-05 -1.8726711092D-03  3.2925097730D-03  6.5222858255D+00  4.0544423103D+01
   116  4.5036532875D-06  1.1911483996D-05 -1.8765232520D-03  3.2962707196D-03  6.5222858212D+00  4.0544423050D+01
   117  4.5129174480D-06  1.1938711874D-05 -1.8803833191D-03  3.3000359621D-03  6.5222858169D+00  4.0544422996D+01
   118  4.5222006648D-06  1.1966001993D-05 -1.8842513262D-03  3.3038055056D-03  6.5222858126D+00  4.0544422943D+01
   119  4.5315029778D-06  1.1993354492D-05 -1.8881272899D-03  3.3075793551D-03  6.5222858083D+00  4.0544422889D+01
   120  4.5408244257D-06  1.2020769514D-05 -1.8920112268D-03  3.3113575152D-03  6.5222858039D+00  4.0544422835D+01
   121  4.5501650484D-06  1.2048247204D-05 -1.8959031529D-03  3.3151399910D-03  6.5222857996D+00  4.0544422781D+01
   122  4.5595248849D-06  1.2075787704D-05 -1.8998030850D-03  3.3189267874D-03  6.5222857953D+00  4.0544422727D+01
   123  4.5689039748D-06  1.2103391156D-05 -1.9037110391D-03  3.3227179095D-03  6.5222857909D+00  4.0544422673D+01
   124  4.5783023580D-06  1.2131057706D-05 -1.9076270323D-03  3.3265133619D-03  6.5222857865D+00  4.0544422619D+01
   125  4.5877200738D-06  1.2158787498D-05 -1.9115510807D-03  3.3303131498D-03  6.5222857822D+00  4.0544422565D+01
   126  4.5971571621D-06  1.2186580676D-05 -1.9154832010D-03  3.3341172781D-03  6.5222857777D+00  4.0544422510D+01
   127  4.6066136631D-06  1.2214437385D-05 -1.9194234099D-03  3.3379257518D-03  6.5222857734D+00  4.0544422456D+01
   128  4.6160896161D-06  1.2242357770D-05 -1.9233717238D-03  3.3417385758D-03  6.5222857689D+00  4.0544422400D+01
   129  4.6255850616D-06  1.2270341978D-05 -1.9273281596D-03  3.3455557550D-03  6.5222857645D+00  4.0544422345D+01
   130  4.6351000395D-06  1.2298390153D-05 -1.9312927341D-03  3.3493772945D-03  6.5222857602D+00  4.0544422290D+01
   131  4.6446345900D-06  1.2326502441D-05 -1.9352654636D-03  3.3532031992D-03  6.5222857557D+00  4.0544422235D+01
   132  4.6541887533D-06  1.2354678990D-05 -1.9392463651D-03  3.3570334742D-03  6.5222857513D+00  4.0544422179D+01
   133  4.6637625699D-06  1.2382919947D-05 -1.9432354556D-03  3.3608681243D-03  6.5222857468D+00  4.0544422124D+01
   134  4.6733560803D-06  1.2411225459D-05 -1.9472327519D-03  3.3647071548D-03  6.5222857422D+00  4.0544422069D+01
   135  4.6829693247D-06  1.2439595672D-05 -1.9512382706D-03  3.3685505704D-03  6.5222857378D+00  4.0544422012D+01
   136  4.6926023439D-06  1.2468030736D-05 -1.9552520289D-03  3.3723983762D-03  6.5222857333D+00  4.0544421957D+01
   137  4.7022551784D-06  1.2496530797D-05 -1.9592740435D-03  3.3762505772D-03  6.5222857288D+00  4.0544421901D+01
   138  4.7119278693D-06  1.2525096007D-05 -1.9633043317D-03  3.3801071786D-03  6.5222857243D+00  4.0544421846D+01
   139  4.7216204571D-06  1.2553726512D-05 -1.9673429102D-03  3.3839681852D-03  6.5222857198D+00  4.0544421789D+01
   140  4.7313329829D-06  1.2582422461D-05 -1.9713897962D-03  3.3878336022D-03  6.5222857153D+00  4.0544421733D+01
   141  4.7410654878D-06  1.2611184005D-05 -1.9754450070D-03  3.3917034344D-03  6.5222857107D+00  4.0544421676D+01
   142  4.7508180126D-06  1.2640011294D-05 -1.9795085593D-03  3.3955776871D-03  6.5222857062D+00  4.0544421619D+01
   143  4.7605905987D-06  1.2668904478D-05 -1.9835804704D-03  3.3994563652D-03  6.5222857016D+00  4.0544421563D+01
   144  4.7703832875D-06  1.2697863707D-05 -1.9876607579D-03  3.4033394739D-03  6.5222856970D+00  4.0544421506D+01
   145  4.7801961201D-06  1.2726889133D-05 -1.9917494384D-03  3.4072270181D-03  6.5222856925D+00  4.0544421449D+01
   146  4.7900291379D-06  1.2755980906D-05 -1.9958465295D-03  3.4111190030D-03  6.5222856879D+00  4.0544421392D+01
